🇹🇼台灣,#genre#
臺灣番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
臺灣番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
臺灣番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
東森美洲,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
東森美洲,http://38.64.72.148:80/hls/modn/list/2015/chunklist1.m3u8
東森美洲,http://38.64.72.148/hls/modn/list/2015/chunklist0.m3u8
華語電視3,http://38.64.72.148:80/hls/modn/list/4003/chunklist0.m3u8
華語電視3,http://38.64.72.148:80/hls/modn/list/4003/chunklist1.m3u8
NHK,http://123.51.230.108:18525/.m3u8
東森戲劇,http://123.51.230.108:18538/.m3u8
八大第一 HD,http://123.51.230.108:18539/.m3u8
八大第一 HD,http://123.51.229.65:18539/.m3u8
八大第一 HD,http://220.134.196.147:9531/index.m3u8
緯來綜合 HD,http://123.51.230.108:18540/.m3u8
緯來綜合 HD,http://123.51.229.65:18540/.m3u8
緯來綜合 HD,http://60.251.33.252:18540/.m3u8
緯來育樂,http://123.51.230.108:18541/.m3u8
東風37,http://123.51.230.108:18560/.m3u8
東風37,http://123.51.230.108:18561/.m3u8
大愛,http://123.51.230.108:18567/.m3u8
民視新聞,http://123.51.230.108:18663/.m3u8
MTV,http://pluto-live.plutotv.net/egress/chandler/pluto01/live/VIACBS02/master_1400.m3u8
東森財經新聞,https://ytm2.yuanhsing.cf/EBCFinancial.m3u8
中天新聞,https://epg.pw/stream/93417f5ca23a213e2fd16c9a1fb03013b4aaed0cd2a59826ab129ceefe981477.m3u8
鏡新聞,https://ytm2.yuanhsing.cf/mnews.m3u8
鏡新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV70.m3u8
TVBS新聞,https://ytm2.yuanhsing.cf/TVBSNEWS01.m3u8
中視新聞,https://ytm2.yuanhsing.cf/twctvnews.m3u8
TVBS新聞,https://ytm2.yuanhsing.cf/ttvnewsview.m3u8
民視新聞,https://ytm2.yuanhsing.cf/FTVCP.m3u8
三立新聞,https://ytm2.yuanhsing.cf/SETLIVE.m3u8
三立新聞,http://123.51.230.64:18543/http/192.168.1.9:8081/hls/65/807/ch18.m3u8
寰宇新聞,https://ytm2.yuanhsing.cf/GlobalNewsTV.m3u8
寰宇新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV02.m3u8
雲林新聞網,http://58.99.33.16:1935/liveedge17/live_854_3.stream/chunklist.m3u8
南投新聞網,http://58.99.33.16:1935/liveedge17/live_853_3.stream/chunklist.m3u8
TVBS亞洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8
TVBS亞洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
TVBS亞洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
龍祥時代,http://120.84.96.73:808/hls/35/index.m3u8
龍祥時代,http://120.84.96.89:808/hls/35/index.m3u8
龍祥時代,http://120.84.96.108:808/hls/35/index.m3u8
龍祥時代,http://107.151.203.111:2209/135/hk.php?id=lxsdt
衛視電影台,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=941625&extension=ts&play_token=UX6nxpu1TT
天映經典,http://120.84.96.73:808/hls/85/index.m3u8
天映經典,http://120.84.96.89:808/hls/85/index.m3u8
天映經典,http://107.151.203.111:2209/135/hk.php?id=ccmt
天映頻道,http://210.210.155.35:80/dr9445/h/h14/02.m3u8
東森洋片 HD,http://120.84.96.73:808/hls/33/index.m3u8
東森洋片 HD,http://120.84.96.89:808/hls/33/index.m3u8
東森洋片 HD,http://120.84.96.108:808/hls/33/index.m3u8
東森洋片 HD,http://120.84.96.23:808/hls/33/index.m3u8
東森洋片 HD,http://120.84.96.87:808/hls/33/index.m3u8
東森洋片 HD,http://107.151.203.111:2209/135/hk.php?id=dsypt
美亞電影[1280x720][20230418],https://epg.pw/stream/a3bc84227079241a67196b79f3d90384036fe9fe731c31c17ec59c278e1aeeb5.m3u8
愛爾達體育2台,rtmp://9wv7.mine.nu/sat/md021
愛爾達體育1台,https://epg.pw/stream/dc4b1f3d338d0d80f7a9ace70c31843b1adfea1c8b51c7bc614dcb84825b3c7a.m3u8
愛爾達體育2台,rtmp://119.81.124.89/sat/md021
愛爾達體育2台,rtmp://219.80.97.77/sat/md021
愛爾達體育1台,https://epg.pw/stream/100a5aed4e01db84db6e3c0bef8a4f30a294b70b272d6e6bb3bc49ffd1544215.m3u8
愛爾達體育2台,rtmp://219.80.97.77/sat/md051
寰宇新聞,https://ghproxy.com/https://raw.githubusercontent.com/eddyyung/TV/main/TV02.m3u8
MOMO2台,https://ghproxy.com/https://raw.githubusercontent.com/eddyyung/TV/main/TV05.m3u8
天才衝衝衝,https://ghproxy.com/https://raw.githubusercontent.com/eddyyung/TV/main/TV26.m3u8
幸福空間居家,https://epg.pw/stream/62e4fc96c43b43bfbf20f17ca61b7d3654537c7918019794ebcc7d9bd9f967df.m3u8
鏡新聞,https://ghproxy.com/https://raw.githubusercontent.com/eddyyung/TV/main/TV70.m3u8
八大電視,https://ghproxy.com/https://raw.githubusercontent.com/eddyyung/TV/main/TV74.m3u8
三立新聞,https://ghproxy.com/https://raw.githubusercontent.com/eddyyung/TV/main/TV75.m3u8
寰宇新聞,https://ghproxy.com/https://raw.githubusercontent.com/eddyyung/TV/main/TV76.m3u8
Taiwan+,https://ghproxy.com/https://raw.githubusercontent.com/eddyyung/TV/main/TV78.m3u8
中天新聞(循環直播),https://epg.pw/stream/3a4a87abc98e2ad39a9c75cf81ade19c7f5f240276161e2b28978bab192141e8.m3u8
中天新聞(直播),https://epg.pw/stream/93417f5ca23a213e2fd16c9a1fb03013b4aaed0cd2a59826ab129ceefe981477.m3u8
